测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,,0.045,-0.086,0.1524,0.1522,0.0002,,,,
16,P15(后),18.248,18.249,1.3527,1.3526,0.0001,,499.9464,,
,P16(前),18.902,18.898,1.4347,1.4348,-0.0001,-0.0821,499.8643,,
,,-0.652,-0.737,-0.082,-0.0822,0.0002,,,,
17,P16(后),13.108,13.108,1.5096,1.5098,-0.0002,,499.8643,,
,P17(前),12.888,12.887,1.4342,1.4345,-0.0003,0.07535,499.93965,,
,,0.221,-0.517,0.0754,0.0753,0.0001,,,,
18,P17(后),19.603,19.6,1.466,1.4661,-0.0001,,499.93965,,
,P18(前),20.48,20.5,1.4048,1.4045,0.0003,0.0614,500.00105,,
,,-0.889,-1.405,0.0612,0.0616,-0.0004,,,,
19,P18(后),20.5,20.48,1.4049,1.4046,0.0003,,500.00105,K7至K1,-0.20375
,P19(前),19.598,19.598,1.4661,1.466,0.0001,-0.0613,499.93975,,
,,0.892,-0.513,-0.0612,-0.0614,0.0002,,,,
20,P19(后),26.13,26.13,1.3953,1.3953,0,,499.93975,,
,P20(前),26.78,26.77,1.5084,1.5084,0,-0.1131,499.82665,,
,,-0.645,-1.158,-0.1131,-0.1131,0,,,,
21,P20(后),19.217,19.217,1.4681,1.468,0.0001,,499.82665,,
,P21(前),19.713,19.714,1.4244,1.4243,0.0001,0.0437,499.87035,,
,,-0.497,-1.655,0.0437,0.0437,0,,,,
22,P21(后),17.377,17.378,1.3836,1.3836,0,,499.87035,,
,P22(前),17.246,17.246,1.4567,1.4566,0.0001,-0.07305,499.7973,,
,,0.132,-1.523,-0.0731,-0.073,-0.0001,,,,
23,P22(后),38.35,38.35,1.5257,1.5255,0.0002,,499.7973,K1至K2,1.0464
,P23(前),38.84,38.84,1.3897,1.3898,-0.0001,0.13585,499.93315,,
,,-0.49,-2.013,0.136,0.1357,0.0003,,,,
24,P23(后),44.64,44.64,1.5873,1.5872,0.0001,,499.93315,,
,P24(前),44.57,44.58,1.2581,1.258,0.0001,0.3292,500.26235,,
,,0.065,-1.948,0.3292,0.3292,0,,,,
25,P24(后),18.509,18.513,1.5797,1.5798,-0.0001,,500.26235,,
,P25(前),18.498,18.502,1.3444,1.3445,-0.0001,0.2353,500.49765,,
,,0.011,-1.937,0.2353,0.2353,0,,,,
26,P25(后),22.44,22.44,1.6199,1.6198,0.0001,,500.49765,,
,P26(前),22.84,22.85,1.274,1.2736,0.0004,0.34605,500.8437,,
,,-0.405,-2.342,0.3459,0.3462,-0.0003,,,,
27,P26(后),35.36,35.36,1.4989,1.4989,0,,500.8437,K2至K7,-0.84115
,P27(前),35.28,35.28,1.443,1.443,0,0.0559,500.8996,,
,,0.08,-2.262,0.0559,0.0559,0,,,,
28,P27(后),42.62,42.62,1.4279,1.428,-0.0001,,500.8996,,
,P28(前),42.75,42.76,1.7952,1.795,0.0002,-0.36715,500.53245,,
,,-0.135,-2.397,-0.3673,-0.367,-0.0003,,,,
29,P28(后),44.35,44.35,1.4177,1.4176,0.0001,,500.53245,,
,P29(前),44.35,44.35,1.7404,1.7403,0.0001,-0.3227,500.20975,,
,,0,-2.397,-0.3227,-0.3227,0,,,,
30,P29(后),44.36,44.35,1.7409,1.7407,0.0002,,500.20975,,
,P30(前),44.38,44.36,1.4303,1.43,0.0003,0.31065,500.5204,,
,,-0.015,-2.412,0.3106,0.3107,-0.0001,,,,
31,P30(后),42.1,42.1,1.3682,1.3682,0,,500.5204,,
,P31(前),42.31,42.31,1.3186,1.3185,0.0001,0.04965,500.57005,,
,,-0.21,-2.622,0.0496,0.0497,-0.0001,,,,
32,P31(后),24.43,24.44,1.3588,1.3588,0,,500.57005,,
,P32(前),24.18,24.18,1.3369,1.337,-0.0001,0.02185,500.5919,,
,,0.255,-2.367,0.0219,0.0218,0.0001,,,,
33,P32(后),21.74,21.74,1.4194,1.4193,0.0001,,500.5919,,
,P33(前),21.08,21.09,1.6978,1.6978,0,-0.27845,500.31345,,
,,0.655,-1.712,-0.2784,-0.2785,0.0001,,,,
34,P33(后),27.14,27.15,1.5063,1.5063,0,,500.31345,,
,P34(前),26.75,26.78,1.8171,1.8173,-0.0002,-0.3109,500.00255,,
,,0.38,-1.332,-0.3108,-0.311,0.0002,,,,
后视距总长,=,1050.523,,,,,,,,
前视距总长,=,1051.855,,,,,,,,
线路总长度,=,2102.378,,,,,,,,
累积视距差,=,-1.332,,,,,,,,
累积高差,=,0.00255,,,,,,,,
闭合差,=,0.00255,,,,,,,,
