测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,,-0.48,0.191,-0.3746,-0.3747,0.0001,,,,
16,P15(后),42.08,42.07,1.2338,1.234,-0.0002,,499.625,,
,P16(前),42.77,42.77,1.6983,1.6983,0,-0.4644,499.1606,,
,,-0.695,-0.504,-0.4645,-0.4643,-0.0002,,,,
17,P16(后),30.78,30.78,1.3898,1.3896,0.0002,,499.1606,K3至K5,0.53885
,P17(前),30.39,30.39,1.3841,1.3841,0,0.0056,499.1662,,
,,0.39,-0.114,0.0057,0.0055,0.0002,,,,
18,P17(后),24.78,24.77,1.4416,1.4415,0.0001,,499.1662,,
,P18(前),24.35,24.36,1.307,1.307,0,0.13455,499.30075,,
,,0.42,0.306,0.1346,0.1345,0.0001,,,,
19,P18(后),32.89,32.9,1.5834,1.5834,0,,499.30075,,
,P19(前),32.67,32.67,1.4583,1.4584,-0.0001,0.12505,499.4258,,
,,0.225,0.531,0.1251,0.125,0.0001,,,,
20,P19(后),48.32,48.32,1.5974,1.5973,0.0001,,499.4258,,
,P20(前),48.81,48.8,1.5078,1.5077,0.0001,0.0896,499.5154,,
,,-0.485,0.046,0.0896,0.0896,0,,,,
21,P20(后),33.41,33.42,1.5676,1.567,0.0006,,499.5154,,
,P21(前),33.34,33.34,1.4614,1.4617,-0.0003,0.10575,499.62115,,
,,0.075,0.121,0.1061,0.1054,0.0007,,,,
22,P21(后),23.21,23.21,1.4611,1.4612,-0.0001,,499.62115,,
,P22(前),23.75,23.75,1.3829,1.3828,0.0001,0.0783,499.69945,,
,,-0.54,-0.419,0.0782,0.0784,-0.0002,,,,
23,P22(后),35.08,35.08,1.4027,1.4025,0.0002,,499.69945,K5至K2,0.3011
,P23(前),35.39,35.39,1.3186,1.3187,-0.0001,0.08395,499.7834,,
,,-0.31,-0.729,0.0841,0.0838,0.0003,,,,
24,P23(后),24.39,24.39,1.5497,1.5497,0,,499.7834,,
,P24(前),23.83,23.83,1.2129,1.2132,-0.0003,0.33665,500.12005,,
,,0.56,-0.169,0.3368,0.3365,0.0003,,,,
25,P24(后),31.86,31.86,1.5319,1.5323,-0.0004,,500.12005,,
,P25(前),31.39,31.4,1.4784,1.4784,0,0.0537,500.17375,,
,,0.465,0.296,0.0535,0.0539,-0.0004,,,,
26,P25(后),41.96,41.96,1.4689,1.469,-0.0001,,500.17375,,
,P26(前),41.19,41.19,1.4878,1.4877,0.0001,-0.0188,500.15495,,
,,0.77,1.066,-0.0189,-0.0187,-0.0002,,,,
27,P26(后),28.69,28.69,1.4618,1.4618,0,,500.15495,,
,P27(前),29.22,29.21,1.5483,1.5483,0,-0.0865,500.06845,,
,,-0.525,0.541,-0.0865,-0.0865,0,,,,
28,P27(后),38.49,38.49,1.4326,1.4324,0.0002,,500.06845,,
,P28(前),38.11,38.1,1.5006,1.5002,0.0004,-0.0679,500.00055,,
,,0.385,0.926,-0.068,-0.0678,-0.0002,,,,
后视距总长,=,954.396,,,,,,,,
前视距总长,=,953.47,,,,,,,,
线路总长度,=,1907.866,,,,,,,,
累积视距差,=,0.926,,,,,,,,
累积高差,=,0.00055,,,,,,,,
闭合差,=,0.00055,,,,,,,,
