测站,点号,视距读数,,水准尺读数,,读数差,高差,高程,备注,累计高差
,,0.09,-0.41,0.2238,0.2239,-0.0001,,,,
16,P15(后),28.45,28.45,1.5029,1.5028,0.0001,,499.7573,,
,P16(前),28.45,28.44,1.4211,1.4209,0.0002,0.08185,499.83915,,
,,0.005,-0.405,0.0818,0.0819,-0.0001,,,,
17,P16(后),25.24,25.23,1.4664,1.4665,-0.0001,,499.83915,,
,P17(前),24.96,24.96,1.4406,1.4405,0.0001,0.0259,499.86505,,
,,0.275,-0.13,0.0258,0.026,-0.0002,,,,
18,P17(后),24.65,24.65,1.5865,1.5865,0,,499.86505,,
,P18(前),24.93,24.94,1.4517,1.4517,0,0.1348,499.99985,,
,,-0.285,-0.415,0.1348,0.1348,0,,,,
19,P18(后),24.92,24.93,1.4517,1.4516,0.0001,,499.99985,K6至K3,-0.74565
,P19(前),24.65,24.65,1.5866,1.5866,0,-0.13495,499.8649,,
,,0.275,-0.14,-0.1349,-0.135,0.0001,,,,
20,P19(后),33.55,33.55,1.4329,1.4328,0.0001,,499.8649,,
,P20(前),33.34,33.36,1.4741,1.4743,-0.0002,-0.04135,499.82355,,
,,0.2,0.06,-0.0412,-0.0415,0.0003,,,,
21,P20(后),26.03,26.03,1.4691,1.469,0.0001,,499.82355,,
,P21(前),26.41,26.4,1.5424,1.5425,-0.0001,-0.0734,499.75015,,
,,-0.375,-0.315,-0.0733,-0.0735,0.0002,,,,
22,P21(后),28.66,28.66,1.4085,1.4088,-0.0003,,499.75015,,
,P22(前),28.35,28.36,1.5311,1.5311,0,-0.12245,499.6277,,
,,0.305,-0.01,-0.1226,-0.1223,-0.0003,,,,
23,P22(后),23.44,23.45,1.5044,1.5044,0,,499.6277,,
,P23(前),23.51,23.51,1.5251,1.5251,0,-0.0207,499.607,,
,,-0.065,-0.075,-0.0207,-0.0207,0,,,,
24,P23(后),40.81,40.81,1.3213,1.3213,0,,499.607,,
,P24(前),40.61,40.61,1.6741,1.6741,0,-0.3528,499.2542,,
,,0.2,0.125,-0.3528,-0.3528,0,,,,
25,P24(后),31.85,31.85,1.5733,1.5733,0,,499.2542,K3至K4,0.62655
,P25(前),30.61,30.61,1.4725,1.4726,-0.0001,0.10075,499.35495,,
,,1.24,1.365,0.1008,0.1007,0.0001,,,,
26,P25(后),47.91,47.91,1.519,1.5191,-0.0001,,499.35495,,
,P26(前),48.24,48.25,1.424,1.4245,-0.0005,0.0948,499.44975,,
,,-0.335,1.03,0.095,0.0946,0.0004,,,,
27,P26(后),38.05,38.06,1.5517,1.5515,0.0002,,499.44975,,
,P27(前),38.17,38.17,1.3645,1.3645,0,0.1871,499.63685,,
,,-0.115,0.915,0.1872,0.187,0.0002,,,,
28,P27(后),21.71,21.7,1.5924,1.5925,-0.0001,,499.63685,,
,P28(前),21.98,21.98,1.4335,1.4333,0.0002,0.15905,499.7959,,
,,-0.275,0.64,0.1589,0.1592,-0.0003,,,,
29,P28(后),18.206,18.2,1.5418,1.542,-0.0002,,499.7959,,
,P29(前),18.169,18.169,1.4902,1.4903,-0.0001,0.05165,499.84755,,
,,0.034,0.674,0.0516,0.0517,-0.0001,,,,
30,P29(后),41.9,41.9,1.5598,1.56,-0.0002,,499.84755,,
,P30(前),41.72,41.74,1.5268,1.5266,0.0002,0.0332,499.88075,,
,,0.17,0.844,0.033,0.0334,-0.0004,,,,
31,P30(后),32.27,32.28,1.4045,1.4041,0.0004,,499.88075,K4至K6,0.1182
,P31(前),32.41,32.41,1.3745,1.3746,-0.0001,0.02975,499.9105,,
,,-0.135,0.709,0.03,0.0295,0.0005,,,,
32,P31(后),33.69,33.7,1.3768,1.3768,0,,499.9105,,
,P32(前),33.48,33.49,1.4613,1.461,0.0003,-0.08435,499.82615,,
,,0.21,0.919,-0.0845,-0.0842,-0.0003,,,,
33,P32(后),30.13,30.13,1.5302,1.5301,0.0001,,499.82615,,
,P33(前),29.58,29.58,1.4954,1.4953,0.0001,0.0348,499.86095,,
,,0.55,1.469,0.0348,0.0348,0,,,,
34,P33(后),28.33,28.32,1.5463,1.5464,-0.0001,,499.86095,,
,P34(前),28.66,28.66,1.6563,1.6562,0.0001,-0.1099,499.75105,,
,,-0.335,1.134,-0.11,-0.1098,-0.0002,,,,
35,P34(后),19.223,19.223,1.5313,1.5313,0,,499.75105,,
,P35(前),19.851,19.847,1.4546,1.4548,-0.0002,0.0766,499.82765,,
,,-0.626,0.508,0.0767,0.0765,0.0002,,,,
36,P35(后),26.61,26.61,1.4833,1.4834,-0.0001,,499.82765,,
,P36(前),26.78,26.79,1.4892,1.4889,0.0003,-0.0057,499.82195,,
,,-0.175,0.333,-0.0059,-0.0055,-0.0004,,,,
37,P36(后),22.82,22.81,1.5104,1.5103,0.0001,,499.82195,,
,P37(前),22.99,23,1.3919,1.3919,0,0.11845,499.9404,,
,,-0.18,0.153,0.1185,0.1184,0.0001,,,,
38,P37(后),16.728,16.726,1.5343,1.5342,0.0001,,499.9404,,
,P38(前),16.951,16.949,1.4757,1.4757,0,0.05855,499.99895,,
,,-0.223,-0.07,0.0586,0.0585,0.0001,,,,
后视距总长,=,1175.693,,,,,,,,
前视距总长,=,1175.763,,,,,,,,
线路总长度,=,2351.456,,,,,,,,
累积视距差,=,-0.07,,,,,,,,
累积高差,=,-0.00105,,,,,,,,
闭合差,=,-0.00105,,,,,,,,
