Time,East(m),North(m),Up(m),ZTD(m),Mode,ModeName,Horizontal2D(m)
0.2559027777777777,0.027305708217753407,-0.029539511048053718,0.15647959049134622,-0.508707585607859,1,fix,0.04022666297657778
0.25625,0.027491964086635633,-0.029865040548340896,0.15457966229394976,-0.5069360806672957,1,fix,0.04059222507198773
0.2565972222222222,0.027607527404968094,-0.02978559471897838,0.15374357735828073,-0.5035890875645523,1,fix,0.04061227920443886
0.2569444444444444,0.027337850352756553,-0.029758988915604453,0.15484846351651158,-0.5004384106377335,1,fix,0.04040984388968585
0.2572916666666666,0.02705338813422761,-0.029867035898709107,0.15212318635142097,-0.4967951052151199,1,fix,0.04029796077862931
0.2576388888888888,0.02697117504193077,-0.029864889245020978,0.15238931034890832,-0.4933021034797368,1,fix,0.04024122131297507
0.2579861111111111,0.027020654548532315,-0.029716885064915106,0.1497184814050114,-0.4881667202791804,1,fix,0.040164773498583245
0.2583333333333333,0.02707542738352532,-0.029437978057869768,0.15128941793810885,-0.4845883792759273,1,fix,0.03999591629324392
0.2586805555555556,0.02705473680840759,-0.02965284665928032,0.14933045458047844,-0.479320716673325,1,fix,0.04014037990317228
0.2590277777777778,0.02704721611165116,-0.029415522905916893,0.15035956042250917,-0.4726759551780892,1,fix,0.03996029138055532
0.259375,0.026744633899091513,-0.029356305430135655,0.14831502695688634,-0.4664544608778863,1,fix,0.0397123168664817
0.2597222222222222,0.02663094557104817,-0.029339266419355758,0.14541023040608458,-0.4587084396516103,1,fix,0.039623223190877174
0.2600694444444444,0.026437386771730378,-0.029356899826855742,0.14642534426718276,-0.4494373139384695,1,fix,0.03950649296966395
0.2604166666666667,0.026208354182669008,-0.029274313770077585,0.14439055586568322,-0.441235995258984,1,fix,0.039292025599008996
0.2607638888888889,0.02614908301842007,-0.02926501968012634,0.14218338113429743,-0.4334431640801449,1,fix,0.03924558471449249
0.2611111111111111,0.026104145744018068,-0.029068974345583296,0.13896252219882343,-0.4253612993148384,1,fix,0.03906957504925177
