LocationID,pickup_count,Borough,Zone,service_zone
116,7470,Manhattan,Hamilton Heights,Boro Zone
145,7039,Queens,Long Island City/Hunters Point,Boro Zone
7,6879,Queens,Astoria,Boro Zone
226,6519,Queens,Sunnyside,Boro Zone
61,6422,Brooklyn,Crown Heights North,Boro Zone
264,6187,Unknown,,
112,6152,Brooklyn,Greenpoint,Boro Zone
256,6057,Brooklyn,Williamsburg (South Side),Boro Zone
37,5642,Brooklyn,Bushwick South,Boro Zone
65,5489,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
33,5467,Brooklyn,Brooklyn Heights,Boro Zone
97,5385,Brooklyn,Fort Greene,Boro Zone
80,5362,Brooklyn,East Williamsburg,Boro Zone
66,5135,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
152,4759,Manhattan,Manhattanville,Boro Zone
25,4525,Brooklyn,Boerum Hill,Boro Zone
225,4293,Brooklyn,Stuyvesant Heights,Boro Zone
76,4283,Brooklyn,East New York,Boro Zone
181,4262,Brooklyn,Park Slope,Boro Zone
129,3916,Queens,Jackson Heights,Boro Zone
243,3872,Manhattan,Washington Heights North,Boro Zone
17,3759,Brooklyn,Bedford,Boro Zone
188,3703,Brooklyn,Prospect-Lefferts Gardens,Boro Zone
89,3618,Brooklyn,Flatbush/Ditmas Park,Boro Zone
49,3605,Brooklyn,Clinton Hill,Boro Zone
146,3503,Queens,Long Island City/Queens Plaza,Boro Zone
130,3329,Queens,Jamaica,Boro Zone
36,3318,Brooklyn,Bushwick North,Boro Zone
39,2817,Brooklyn,Canarsie,Boro Zone
216,2792,Queens,South Ozone Park,Boro Zone
179,2669,Queens,Old Astoria,Boro Zone
223,2541,Queens,Steinway,Boro Zone
177,2418,Brooklyn,Ocean Hill,Boro Zone
35,2362,Brooklyn,Brownsville,Boro Zone
228,2352,Brooklyn,Sunset Park West,Boro Zone
168,2345,Bronx,Mott Haven/Port Morris,Boro Zone
260,2227,Queens,Woodside,Boro Zone
72,2215,Brooklyn,East Flatbush/Remsen Village,Boro Zone
193,2155,Queens,Queensbridge/Ravenswood,Boro Zone
197,2048,Queens,Richmond Hill,Boro Zone
95,2011,Queens,Forest Hills,Boro Zone
71,1945,Brooklyn,East Flatbush/Farragut,Boro Zone
91,1933,Brooklyn,Flatlands,Boro Zone
82,1884,Queens,Elmhurst,Boro Zone
62,1879,Brooklyn,Crown Heights South,Boro Zone
127,1737,Manhattan,Inwood,Boro Zone
189,1734,Brooklyn,Prospect Heights,Boro Zone
10,1732,Queens,Baisley Park,Boro Zone
14,1702,Brooklyn,Bay Ridge,Boro Zone
157,1699,Queens,Maspeth,Boro Zone
195,1685,Brooklyn,Red Hook,Boro Zone
198,1536,Queens,Ridgewood,Boro Zone
247,1521,Bronx,West Concourse,Boro Zone
69,1520,Bronx,East Concourse/Concourse Village,Boro Zone
