OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
26,4,25,26,0.123547807070000,Borough Park,26,Brooklyn,node/591991338,,2,50th Street,NYC Subway,New York City Transit Authority,station,station,61,50 St,,subway,yes,no,Q1976413,,en:50th Street station (BMT West End Line),node/591991338,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39247.228832953762000,0.000534039927626,26,773,Brooklyn,Borough Park,Boro Zone,26,1673,Brooklyn,Borough Park,Boro Zone
27,0,26,27,0.202508808518000,Breezy Point/Fort Tilden/Riis Beach,27,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65960.508934659403000,0.001340887627460,27,12,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,27,81,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone
28,1,27,28,0.097960782214000,Briarwood/Jamaica Hills,28,Queens,node/1005312415,,-2,Parsons Boulevard,NYC Subway,New York City Transit Authority,station,station,256,Parsons Blvd,,subway,yes,no,Q2613750,,en:Parsons Boulevard station,node/1005312415,,,,,24/7,F03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30082.335002992073000,0.000291203927662,28,913,Queens,Briarwood/Jamaica Hills,Boro Zone,28,2061,Queens,Briarwood/Jamaica Hills,Boro Zone
29,2,28,29,0.071408312773300,Brighton Beach,29,Brooklyn,node/719549900,,2,Ocean Parkway,NYC Subway,New York City Transit Authority,station,station,56,Ocean Pkwy,,subway,yes,no,Q2460511,,en:Ocean Parkway station,node/719549900,Q7733,Q1146109,City of New York,Q60,24/7,D41,,,,,,,,,Brooklyn,11224,NY,,,,,,,Ocean Parkway,,,,,realtime,no,,,,,,,,,,,,,,,,,21058.800699539006000,0.000201673837402,29,547,Brooklyn,Brighton Beach,Boro Zone,29,979,Brooklyn,Brighton Beach,Boro Zone
30,1,29,30,0.094509766979300,Broad Channel,30,Queens,node/2054217375,,1,Broad Channel,NYC Subway,New York City Transit Authority,station,station,199,,,subway,yes,limited,Q2331548,,en:Broad Channel station,node/2054217375,,,,,24/7,,,,,,,,,same-platform transfer only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30269.439552706182000,0.000145862107626,30,4,Queens,Broad Channel,Boro Zone,30,57,Queens,Broad Channel,Boro Zone
31,0,30,31,0.096424566651600,Bronx Park,31,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32410.121822448051000,0.000333975927329,31,90,Bronx,Bronx Park,Boro Zone,31,405,Bronx,Bronx Park,Boro Zone
32,2,31,32,0.054267216010000,Bronxdale,32,Bronx,node/3636835851,,2,Burke Avenue,NYC Subway,New York City Transit Authority,station,station,422,Burke Av,,subway,yes,no,Q2612713,,en:Burke Avenue station,node/3636835851,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17426.151482204794000,0.000150879171971,32,548,Bronx,Bronxdale,Boro Zone,32,839,Bronx,Bronxdale,Boro Zone
33,3,32,33,0.053270293196700,Brooklyn Heights,33,Brooklyn,node/2013913302,,-2,Clark Street,NYC Subway,New York City Transit Authority,station,station,334,Clark St,,subway,yes,no,Q594409,,en:Clark Street station,node/2013913302,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19458.105270710643000,0.000147416802448,33,5467,Brooklyn,Brooklyn Heights,Boro Zone,33,11808,Brooklyn,Brooklyn Heights,Boro Zone
34,0,33,34,0.065705932354500,Brooklyn Navy Yard,34,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41149.228926153046000,0.000173946146651,34,946,Brooklyn,Brooklyn Navy Yard,Boro Zone,34,1022,Brooklyn,Brooklyn Navy Yard,Boro Zone
35,6,34,35,0.085787918592000,Brownsville,35,Brooklyn,node/591993709,,2,Junius Street,NYC Subway,New York City Transit Authority,station,station,349,Junius St,,subway,yes,no,Q2617491,,en:Junius Street station,node/591993709,,,,,24/7,,,,,,Junius Street,,袛卸褍薪懈褍褋-褋褌褉懈褌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27300.772762742934000,0.000323825195932,35,2362,Brooklyn,Brownsville,Boro Zone,35,2783,Brooklyn,Brownsville,Boro Zone
