OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Shape_Leng,zone,LocationID,borough,F_id,internet_a,level,name,network,operator,public_tra,railway,railway_re,short_name,start_date,station,subway,wheelchair,wikidata,wikimedia_,wikipedia,FID_1,network_wi,operator_w,owner,owner_wiki,opening_ho,gtfs_stop_,source,note,platforms,internet_1,name_en,name_ko,name_ru,wheelcha_1,addr_city,addr_postc,addr_state,name_es,name_nl,name_pl,alt_name,image,descriptio,addr_stree,check_date,website,name_zh,name_zh_Ha,departures,departur_1,payment_om,addr_house,air_condit,old_name,payment__1,toilets_wh,name_pronu,check_da_1,name_lt,location,disused,disused_ra,toilets,toilets_ac,old_name_r,operator_s,Shape_Length,Shape_Area,pickup_by_zone_csv_LocationID,pickup_count,pickup_by_zone_csv_Borough,pickup_by_zone_csv_Zone,pickup_by_zone_csv_service_zone,LocationID_1,dropoff_count,Borough_1,Zone_1,service_zone
117,6,116,117,0.169885857987000,Hammels/Arverne,117,Queens,node/1005273989,,2,Beach 90th Street,NYC Subway,New York City Transit Authority,station,station,200,Beach 90 St,,subway,yes,no,Q2446286,,en:Beach 90th Street station,node/1005273989,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83840.300001637152000,0.000904294270720,117,796,Queens,Hammels/Arverne,Boro Zone,117,991,Queens,Hammels/Arverne,Boro Zone
118,0,117,118,0.243966217692000,Heartland Village/Todt Hill,118,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75922.629093071853000,0.001826939227110,118,22,Staten Island,Heartland Village/Todt Hill,Boro Zone,118,83,Staten Island,Heartland Village/Todt Hill,Boro Zone
119,0,118,119,0.083507035574400,Highbridge,119,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18508.644792932588000,0.000185779447534,119,922,Bronx,Highbridge,Boro Zone,119,1308,Bronx,Highbridge,Boro Zone
120,0,119,120,0.083261270215800,Highbridge Park,120,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27435.181306300365000,0.000093146282131,120,71,Manhattan,Highbridge Park,Boro Zone,120,273,Manhattan,Highbridge Park,Boro Zone
121,0,120,121,0.096915337344500,Hillcrest/Pomonok,121,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30676.033413650443000,0.000384563286473,121,647,Queens,Hillcrest/Pomonok,Boro Zone,121,1331,Queens,Hillcrest/Pomonok,Boro Zone
122,0,121,122,0.066531843944600,Hollis,122,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20976.332417011865000,0.000226597104976,122,372,Queens,Hollis,Boro Zone,122,531,Queens,Hollis,Boro Zone
123,1,122,123,0.083421138938700,Homecrest,123,Brooklyn,node/3502067395,no,2,Kings Highway,NYC Subway,New York City Transit Authority,station,station,250,Kings Hwy,,subway,yes,no,Q2172841,,en:Kings Highway station (IND Culver Line),node/3502067395,,,,,24/7,F35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27514.223067476360000,0.000296445173366,123,582,Brooklyn,Homecrest,Boro Zone,123,1083,Brooklyn,Homecrest,Boro Zone
124,0,123,124,0.127724410062000,Howard Beach,124,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78496.118846769285000,0.000754837821479,124,453,Queens,Howard Beach,Boro Zone,124,1249,Queens,Howard Beach,Boro Zone
125,2,124,125,0.049732212175700,Hudson Sq,125,Manhattan,node/597937487,,-1,Houston Street,NYC Subway,New York City Transit Authority,station,station,324,Houston St,1918-07-01,subway,yes,no,Q2083213,,en:Houston Street station (IRT Broadway鈥揝eventh Avenue Line),node/597937487,,,,,24/7,,,no in-station transfer between platforms,,,Houston Street,頊挫姢韯?鞀ろ姼毽姼,啸邪褍褋褌芯薪-褋褌褉懈褌,,New York,10014,NY,,,,,,"The Houston Street station is a local station on the IRT Broadway鈥揝eventh Avenue Line of the New York City Subway. Located at West Houston and Varick Streets in Greenwich Village, Manhattan, it is served by the 1 train at all times.",West Houston Street,2024-01-13,,,,,,,,,,,,藞ha蕣st蓹n st晒i藧t,,,,,,,,,,11677.899751339613000,0.000076429320989,125,20176,Manhattan,Hudson Sq,Yellow Zone,125,22269,Manhattan,Hudson Sq,Yellow Zone
126,3,125,126,0.129948726060000,Hunts Point,126,Bronx,node/567811348,,-2,Hunts Point Avenue,NYC Subway,New York City Transit Authority,station,station,371,Hunts Point Av,,subway,yes,yes,Q2217986,,en:Hunts Point Avenue station,node/567811348,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44701.021610670789000,0.000703273827300,126,623,Bronx,Hunts Point,Boro Zone,126,946,Bronx,Hunts Point,Boro Zone
127,3,126,127,0.060018885581500,Inwood,127,Manhattan,node/4248887015,no,2,207th Street,NYC Subway,New York City Transit Authority,station,station,298,207 St,1907-04-01,subway,yes,no,Q2147093,Category:207th Street (IRT Broadway 鈥?Seventh Avenue Line),en:207th Street station,node/4248887015,,,,,,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24085.451844398794000,0.000163195647796,127,1737,Manhattan,Inwood,Boro Zone,127,4953,Manhattan,Inwood,Boro Zone
128,0,127,128,0.070209029068100,Inwood Hill Park,128,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20386.060826037035000,0.000207405982869,128,186,Manhattan,Inwood Hill Park,Boro Zone,128,679,Manhattan,Inwood Hill Park,Boro Zone
129,4,128,129,0.093272727340300,Jackson Heights,129,Queens,node/280989751,,2,Junction Boulevard,NYC Subway,New York City Transit Authority,station,station,451,Junction Blvd,,subway,yes,yes,Q2368151,,en:Junction Boulevard station,node/280989751,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29425.616159647343000,0.000473988331790,129,3916,Queens,Jackson Heights,Boro Zone,129,5863,Queens,Jackson Heights,Boro Zone
130,5,129,130,0.142028320665000,Jamaica,130,Queens,node/592001938,,-2,Sutphin Boulevard,NYC Subway,New York City Transit Authority,station,station,257,Sutphin Blvd,1937,subway,yes,no,Q2613745,,en:Sutphin Boulevard station (IND Queens Boulevard Line),node/592001938,,,,,24/7,F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43696.251304353274000,0.000468322514327,130,3329,Queens,Jamaica,Boro Zone,130,4082,Queens,Jamaica,Boro Zone
131,0,130,131,0.116547120922000,Jamaica Estates,131,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35448.658164018285000,0.000423696152789,131,637,Queens,Jamaica Estates,Boro Zone,131,1113,Queens,Jamaica Estates,Boro Zone
132,1,131,132,0.245478517070000,JFK Airport,132,Queens,node/2054217377,,0,Howard Beach鈥揓FK Airport,NYC Subway,New York City Transit Authority,station,station,198,,,subway,yes,yes,Q648421,,en:Howard Beach鈥揓FK Airport station,node/2054217377,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92037.400209953354000,0.002038300954720,132,175475,Queens,JFK Airport,Airports,132,34722,Queens,JFK Airport,Airports
133,2,132,133,0.065134863162000,Kensington,133,Brooklyn,node/1123921281,,-2,Church Avenue,NYC Subway,New York City Transit Authority,station,station,243,Church Av,,subway,yes,yes,Q1809285,,en:Church Avenue station (IND Culver Line),node/1123921281,,,,,24/7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20800.539253186165000,0.000157188987507,133,773,Brooklyn,Kensington,Boro Zone,133,1441,Brooklyn,Kensington,Boro Zone
134,2,133,134,0.069587822328400,Kew Gardens,134,Queens,node/1005312419,wlan,-2,Briarwood,NYC Subway,New York City Transit Authority,station,station,258,Briarwood,1937,subway,yes,no,Q2146052,,en:Briarwood station,node/1005312419,,,,,24/7,F05,,no in-station transfer between platforms,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21308.921434068681000,0.000202375182143,134,872,Queens,Kew Gardens,Boro Zone,134,1674,Queens,Kew Gardens,Boro Zone
135,0,134,135,0.121793045659000,Kew Gardens Hills,135,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38677.978615697859000,0.000467912240542,135,469,Queens,Kew Gardens Hills,Boro Zone,135,1311,Queens,Kew Gardens Hills,Boro Zone
136,0,135,136,0.090628715412200,Kingsbridge Heights,136,Bronx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21304.998184001568000,0.000148524994129,136,564,Bronx,Kingsbridge Heights,Boro Zone,136,886,Bronx,Kingsbridge Heights,Boro Zone
137,0,136,137,0.046107624270700,Kips Bay,137,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13636.687433839852000,0.000116455098947,137,44259,Manhattan,Kips Bay,Yellow Zone,137,52549,Manhattan,Kips Bay,Yellow Zone
138,0,137,138,0.107466933508000,LaGuardia Airport,138,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42499.520570333101000,0.000536797294367,138,116319,Queens,LaGuardia Airport,Airports,138,41247,Queens,LaGuardia Airport,Airports
139,0,138,139,0.093299788448300,Laurelton,139,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29115.051471877203000,0.000446669880154,139,498,Queens,Laurelton,Boro Zone,139,1042,Queens,Laurelton,Boro Zone
140,0,139,140,0.047584291132500,Lenox Hill East,140,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13301.798936152876000,0.000114203907779,140,78540,Manhattan,Lenox Hill East,Yellow Zone,140,80023,Manhattan,Lenox Hill East,Yellow Zone
141,1,140,141,0.041514463871200,Lenox Hill West,141,Manhattan,node/4587293105,wlan,-3,72nd Street,NYC Subway,New York City Transit Authority,station,station,477,72 St,,subway,yes,yes,Q4643230,,en:72nd Street station (Second Avenue Subway),node/4587293105,,,,,24/7,,,,,no,,72氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13524.315467337979000,0.000076654557902,141,88691,Manhattan,Lenox Hill West,Yellow Zone,141,99861,Manhattan,Lenox Hill West,Yellow Zone
142,4,141,142,0.038175894232100,Lincoln Square East,142,Manhattan,node/1011407282,,-1,66th Street鈥揕incoln Center,NYC Subway,New York City Transit Authority,station,station,314,66 St鈥揕incoln Center,1904-10-27,subway,yes,yes,Q2042310,,en:66th Street鈥揕incoln Center station,node/1011407282,Q7733,Q1146109,City of New York,Q60,24/7,,,,,,66th Street鈥揕incoln Center,66氩堦皜-毵侅花 靹柬劙,66-褟 褋褌褉懈褌 鈥?袥懈薪泻芯谢褜薪-褋械薪褌褉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12253.969683904901000,0.000075653792074,142,125902,Manhattan,Lincoln Square East,Yellow Zone,142,110376,Manhattan,Lincoln Square East,Yellow Zone
143,1,142,143,0.054179853884900,Lincoln Square West,143,Manhattan,node/1011407261,,-2,72nd Street,NYC Subway,New York City Transit Authority,station,station,313,72 St,1904-10-27,subway,yes,yes,Q2887299,,en:72nd Street station (IRT Broadway鈥揝eventh Avenue Line),node/1011407261,Q7733,Q1146109,City of New York,Q60,24/7,,,,2,,72nd Street,72氩堦皜,72-褟 褋褌褉懈褌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16124.666036503017000,0.000151094269010,143,47654,Manhattan,Lincoln Square West,Yellow Zone,143,57202,Manhattan,Lincoln Square West,Yellow Zone
144,6,143,144,0.027620166850500,Little Italy/NoLiTa,144,Manhattan,node/591995252,,-1,Canal Street,NYC Subway,New York City Transit Authority,station,station,104,Canal St,,subway,yes,no,Q2431462,,en:Canal Street station (New York City Subway),node/591995252,,,,,24/7,M20,,,,,,旌愲剱 鞀ろ姼毽姼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8914.813685370232600,0.000047478967037,144,45112,Manhattan,Little Italy/NoLiTa,Yellow Zone,144,41206,Manhattan,Little Italy/NoLiTa,Yellow Zone
145,7,144,145,0.114313844981000,Long Island City/Hunters Point,145,Queens,node/276319527,,2,Court Square,NYC Subway,New York City Transit Authority,station,station,462,Court Sq,,subway,yes,yes,Q2611918,,en:Court Square鈥?3rd Street station,node/276319527,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37499.912401725865000,0.000346641733797,145,7039,Queens,Long Island City/Hunters Point,Boro Zone,145,11609,Queens,Long Island City/Hunters Point,Boro Zone
146,4,145,146,0.047140521571700,Long Island City/Queens Plaza,146,Queens,node/3570729204,wlan,-2,36th Street,NYC Subway,New York City Transit Authority,station,station,272,36 St,,subway,yes,no,Q2478212,,en:36th Street station (IND Queens Boulevard Line),node/3570729204,,,,,24/7,,,no in-station transfer between platforms,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14269.784510467460000,0.000104638923425,146,3503,Queens,Long Island City/Queens Plaza,Boro Zone,146,3879,Queens,Long Island City/Queens Plaza,Boro Zone
147,2,146,147,0.058765494926800,Longwood,147,Bronx,node/2012644393,,2,Intervale Avenue,NYC Subway,New York City Transit Authority,station,station,431,Intervale Av,,subway,yes,no,Q2613024,,en:Intervale Avenue station,node/2012644393,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18964.890147568698000,0.000106418172757,147,533,Bronx,Longwood,Boro Zone,147,708,Bronx,Longwood,Boro Zone
148,4,147,148,0.039130501563300,Lower East Side,148,Manhattan,node/597928302,,-2,Grand Street,NYC Subway,New York City Transit Authority,station,station,231,Grand St,,subway,yes,no,Q2612361,,en:Grand Street station (IND Sixth Avenue Line),node/597928302,,,,,24/7,,,,,,,攴鸽灉霌?鞀ろ姼毽姼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12385.497476434695000,0.000069748992133,148,50608,Manhattan,Lower East Side,Yellow Zone,148,48045,Manhattan,Lower East Side,Yellow Zone
149,2,148,149,0.083680582183700,Madison,149,Brooklyn,node/2013879307,,1,Avenue U,NYC Subway,New York City Transit Authority,station,station,52,,,subway,yes,no,Q2615473,,en:Avenue U station (BMT Brighton Line),node/2013879307,,,,,24/7,D37,,,,,,,,,,,,,,,,,,,,,,,realtime,no,,,,,,,,,,,,,,,,,26237.257809214141000,0.000270639618955,149,444,Brooklyn,Madison,Boro Zone,149,914,Brooklyn,Madison,Boro Zone
150,0,149,150,0.089331491183000,Manhattan Beach,150,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45818.866589982434000,0.000332568036088,150,318,Brooklyn,Manhattan Beach,Boro Zone,150,611,Brooklyn,Manhattan Beach,Boro Zone
151,2,150,151,0.054889941099900,Manhattan Valley,151,Manhattan,node/2013622929,wlan,-2;-1,103rd Street,NYC Subway,New York City Transit Authority,station,station,156,103 St,,subway,yes,no,Q1841026,,en:103rd Street station (IND Eighth Avenue Line),node/2013622929,,,,,24/7,,,,,no,,103氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12778.711666671148000,0.000128848901918,151,30734,Manhattan,Manhattan Valley,Yellow Zone,151,33570,Manhattan,Manhattan Valley,Yellow Zone
152,3,151,152,0.057909476878200,Manhattanville,152,Manhattan,node/1638063666,no,2,125th Street,NYC Subway,New York City Transit Authority,station,station,306,125 St,,subway,yes,no,Q2188221,Category:125th Street (IRT Broadway 鈥?Seventh Avenue Line),en:125th Street station (IRT Broadway鈥揝eventh Avenue Line),node/1638063666,,,,,24/7,,,,,,,125氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17049.402272536056000,0.000146637644064,152,4759,Manhattan,Manhattanville,Boro Zone,152,6905,Manhattan,Manhattanville,Boro Zone
153,1,152,153,0.024737239022000,Marble Hill,153,Manhattan,node/4248884831,,2,Marble Hill鈥?25th Street,NYC Subway,New York City Transit Authority,station,station,296,Marble Hill鈥?25 St,,subway,yes,no,Q2880976,,en:Marble Hill鈥?25th Street station,node/4248884831,,,,,,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7741.239335652010600,0.000032468496482,153,168,Manhattan,Marble Hill,Boro Zone,153,276,Manhattan,Marble Hill,Boro Zone
154,0,153,154,0.227331570760000,Marine Park/Floyd Bennett Field,154,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114675.061771086450000,0.001789686924330,154,50,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,154,531,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone
155,0,154,155,0.169808473032000,Marine Park/Mill Basin,155,Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92435.283065353229000,0.000868261018498,155,790,Brooklyn,Marine Park/Mill Basin,Boro Zone,155,1668,Brooklyn,Marine Park/Mill Basin,Boro Zone
156,0,155,156,0.144476890476000,Mariners Harbor,156,Staten Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72435.916122831564000,0.001052121744300,156,5,Staten Island,Mariners Harbor,Boro Zone,156,43,Staten Island,Mariners Harbor,Boro Zone
157,0,156,157,0.131300217777000,Maspeth,157,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41278.623215005675000,0.000354370128323,157,1699,Queens,Maspeth,Boro Zone,157,2540,Queens,Maspeth,Boro Zone
158,1,157,158,0.054809990551500,Meatpacking/West Village West,158,Manhattan,node/5646503045,,-2,Christopher Street,PATH,Port Authority Trans-Hudson,station,station,,Christopher St,,subway,yes,no,Q5113294,,en:Christopher Street station (PATH),node/5646503045,,Q908666,,,,,,,,,,韥Μ鞀ろ啝韻?鞀ろ姼毽姼-鞀ろ啢鞗?鞀ろ厡鞚挫厴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20715.304586678176000,0.000185568253002,158,40760,Manhattan,Meatpacking/West Village West,Yellow Zone,158,41966,Manhattan,Meatpacking/West Village West,Yellow Zone
159,2,158,159,0.064363233206000,Melrose South,159,Bronx,node/2012644380,,1,Jackson Avenue,NYC Subway,New York City Transit Authority,station,station,433,Jackson Av,,subway,yes,no,Q2499351,,en:Jackson Avenue station (IRT White Plains Road Line),node/2012644380,,,,,24/7,,,no in-station transfer between platforms,,,,鞛姩 鞎犽箘雺?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19595.604542271329000,0.000171249103870,159,1330,Bronx,Melrose South,Boro Zone,159,1812,Bronx,Melrose South,Boro Zone
160,0,159,160,0.141519142970000,Middle Village,160,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42663.082335797080000,0.000571234977994,160,591,Queens,Middle Village,Boro Zone,160,1674,Queens,Middle Village,Boro Zone
161,2,160,161,0.035803910061100,Midtown Center,161,Manhattan,node/597928321,wlan,-3;-2,5th Avenue鈥?3rd Street,NYC Subway,New York City Transit Authority,station,station,276,5 Av鈥?3 St,,subway,yes,no,Q2613321,,en:Fifth Avenue/53rd Street station,node/597928321,,,,,24/7,,,,,no,,5氩?鞎犽箘雺?53氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11425.333383539231000,0.000071913068299,161,181787,Manhattan,Midtown Center,Yellow Zone,161,150598,Manhattan,Midtown Center,Yellow Zone
162,4,161,162,0.035269814621900,Midtown East,162,Manhattan,node/591997657,,-2,Grand Central鈥?2nd Street,NYC Subway,New York City Transit Authority,station,station,402,Grand Central鈥?2 St,,subway,yes,yes,Q2982151,,en:Grand Central鈥?2nd Street station,node/591997657,Q7733,Q1146109,City of New York,Q60,24/7,631,,,,,,攴鸽灉霌?靹柬姼霟?42氩堦皜,,,,,,,,,,,,,,,,,realtime,no,yes,,,,,,,,,,,,,,,,11489.627158420657000,0.000047893696211,162,130430,Manhattan,Midtown East,Yellow Zone,162,111817,Manhattan,Midtown East,Yellow Zone
163,2,162,163,0.034176866975200,Midtown North,163,Manhattan,node/597928324,,-2,57th Street鈥?th Avenue,NYC Subway,New York City Transit Authority,station,station,9,57 St鈥? Av,,subway,yes,no,Q2614058,,en:57th Street鈥揝eventh Avenue station,node/597928324,Q7733,Q1146109,City of New York,Q60,24/7,,,,,,,57氩堦皜-7氩?鞎犽箘雺?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10316.105818820228000,0.000040856780420,163,109172,Manhattan,Midtown North,Yellow Zone,163,98827,Manhattan,Midtown North,Yellow Zone
164,2,163,164,0.035771611990800,Midtown South,164,Manhattan,node/544355768,wlan,-1,28th Street,NYC Subway,New York City Transit Authority,station,station,13,28 St,1918-01-05,subway,yes,no,Q1924691,Category:28th Street (BMT Broadway Line),en:28th Street station (BMT Broadway Line),node/544355768,,,,,24/7,R18,,no in-station transfer between platforms,,,,28氩堦皜,,,New York,10001,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11416.743059714823000,0.000055631823744,164,84255,Manhattan,Midtown South,Yellow Zone,164,81620,Manhattan,Midtown South,Yellow Zone
165,3,164,165,0.088608036213000,Midwood,165,Brooklyn,node/2013879308,,1,Avenue J,NYC Subway,New York City Transit Authority,station,station,49,,,subway,yes,no,Q2488977,,en:Avenue J station,node/2013879308,,,,,24/7,D33,,,,,,,,,,,,,,,,,,,,,,,realtime,no,,,,,,,,,,,,,,,,,27996.592057214355000,0.000353959317019,165,798,Brooklyn,Midwood,Boro Zone,165,1535,Brooklyn,Midwood,Boro Zone
166,3,165,166,0.068823754287100,Morningside Heights,166,Manhattan,node/4460385049,wlan,-1,Cathedral Parkway鈥?10th Street,NYC Subway,New York City Transit Authority,station,station,308,Cathedral Pkwy (110 St),,subway,yes,no,Q2278502,,en:Cathedral Parkway鈥?10th Street station (IRT Broadway鈥揝eventh Avenue Line),node/4460385049,,,,,24/7,,,no in-station transfer between platforms,,no,,旎れ嫓霌滊煷 韺岉伂鞗澊-110氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17761.360010350698000,0.000255276270405,166,24314,Manhattan,Morningside Heights,Boro Zone,166,32888,Manhattan,Morningside Heights,Boro Zone
167,1,166,167,0.090815973729200,Morrisania/Melrose,167,Bronx,node/4252623560,,1,Freeman Street,NYC Subway,New York City Transit Authority,station,station,429,Freeman St,,subway,yes,no,Q2612939,,en:Freeman Street station,node/4252623560,,,,,24/7,,,no in-station transfer between platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27740.752236297285000,0.000167529391193,167,1001,Bronx,Morrisania/Melrose,Boro Zone,167,1310,Bronx,Morrisania/Melrose,Boro Zone
168,7,167,168,0.114517434155000,Mott Haven/Port Morris,168,Bronx,node/2012627843,wlan,-2,3rd Avenue鈥?38th Street,NYC Subway,New York City Transit Authority,station,station,377,3 Av鈥?38 St,,subway,yes,no,Q2330634,,en:Third Avenue鈥?38th Street station,node/2012627843,,,,,24/7,,,,,no,,3氩?鞎犽箘雺?138氩堦皜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35611.303831849895000,0.000547058100444,168,2345,Bronx,Mott Haven/Port Morris,Boro Zone,168,3607,Bronx,Mott Haven/Port Morris,Boro Zone
169,4,168,169,0.060104658033200,Mount Hope,169,Bronx,node/897519580,,-2,Tremont Avenue,NYC Subway,New York City Transit Authority,station,station,215,Tremont Av,,subway,yes,no,Q2616265,,en:Tremont Avenue station,node/897519580,,,,,24/7,D07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18894.627352629122000,0.000146027537733,169,931,Bronx,Mount Hope,Boro Zone,169,1356,Bronx,Mount Hope,Boro Zone
170,1,169,170,0.045769009105100,Murray Hill,170,Manhattan,node/597928345,wlan,-1,33rd Street,NYC Subway,New York City Transit Authority,station,station,403,33 St,1904-10-27,subway,yes,no,Q2224706,Category:33rd Street (IRT Lexington Avenue Line),en:33rd Street station (IRT Lexington Avenue Line),node/597928345,,,,,24/7,,,no in-station transfer between platforms,,,,33氩堦皜,,,New York,10016,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14334.586611802592000,0.000074315067597,170,109217,Manhattan,Murray Hill,Yellow Zone,170,113905,Manhattan,Murray Hill,Yellow Zone
171,0,170,171,0.107353876244000,Murray Hill-Queens,171,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33266.902215608381000,0.000520099538161,171,266,Queens,Murray Hill-Queens,Boro Zone,171,835,Queens,Murray Hill-Queens,Boro Zone
172,3,171,172,0.118476116148000,New Dorp/Midland Beach,172,Staten Island,node/4479116891,,,Grant City,Staten Island Railway,Staten Island Rapid Transit Operating Authority,station,station,GCS,,,subway,yes,no,Q5596144,,en:Grant City station,node/4479116891,Q1273068,Q1146109,City of New York,Q60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34230.998014118079000,0.000658402501406,172,15,Staten Island,New Dorp/Midland Beach,Boro Zone,172,76,Staten Island,New Dorp/Midland Beach,Boro Zone
173,2,172,173,0.060063966141400,North Corona,173,Queens,node/2014074257,,2,103rd Street鈥揅orona Plaza,NYC Subway,New York City Transit Authority,station,station,450,103 St鈥揅orona Plaza,,subway,yes,no,Q2514165,,en:103rd Street鈥揅orona Plaza station,node/2014074257,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18431.539113884439000,0.000178329851357,173,463,Queens,North Corona,Boro Zone,173,1052,Queens,North Corona,Boro Zone
174,3,173,174,0.067817755960200,Norwood,174,Bronx,node/4248884833,,2,Mosholu Parkway,NYC Subway,New York City Transit Authority,station,station,379,Mosholu Pkwy,,subway,yes,no,Q2021516,,en:Mosholu Parkway station,node/4248884833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22160.622683767251000,0.000155928664422,174,675,Bronx,Norwood,Boro Zone,174,1469,Bronx,Norwood,Boro Zone
175,0,174,175,0.134897665102000,Oakland Gardens,175,Queens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42329.972570782804000,0.000504920726134,175,188,Queens,Oakland Gardens,Boro Zone,175,528,Queens,Oakland Gardens,Boro Zone
