time,vtec_tecu,vtec_model,station
2026-01-27 07:50:00,9.87200612016721,8.348500450412107,HKCL
2026-01-27 08:00:00,12.516431527535648,12.313817881696624,HKCL
2026-01-27 08:10:00,12.417443126780658,14.589145417067957,HKCL
2026-01-27 08:20:00,14.704223526662254,17.862626003192773,HKCL
2026-01-27 08:30:00,16.07810880575439,20.68390156918315,HKCL
2026-01-27 08:40:00,18.174766105736133,19.84588620683853,HKCL
2026-01-27 08:50:00,19.454867353145566,16.202280889810996,HKCL
2026-01-27 09:00:00,20.007679882113145,18.604594176537187,HKCL
2026-01-27 09:10:00,15.944130243454268,18.750190235948125,HKCL
2026-01-27 09:20:00,14.65389738290892,18.524653451651076,HKCL
2026-01-27 09:30:00,14.35884841741412,16.60433016045201,HKCL
2026-01-27 09:40:00,14.621091128267945,14.912020952327316,HKCL
2026-01-27 09:50:00,15.170189938580723,13.841013354602396,HKCL
2026-01-27 10:00:00,15.368310987486272,14.220842675525354,HKCL
2026-01-27 10:10:00,15.26211643374447,14.305953108690137,HKCL
2026-01-27 10:20:00,26.019511203254645,19.98179551960072,HKCL
2026-01-27 10:30:00,29.1015958231443,22.439190975381575,HKCL
2026-01-27 10:40:00,31.136810419294243,27.340006016446004,HKCL
2026-01-27 10:50:00,30.67090136145362,30.310817873300103,HKCL
2026-01-27 11:00:00,28.571693407743584,31.029362028428853,HKCL
2026-01-27 11:10:00,26.21240309116955,33.506267229077885,HKCL
2026-01-27 11:20:00,24.181522790261454,29.93307421022725,HKCL
2026-01-27 11:30:00,18.372517614312883,19.35207640811486,HKCL
2026-01-27 11:40:00,17.701381582384577,19.691601734505646,HKCL
2026-01-27 11:50:00,18.092031401233776,16.184285501015168,HKCL
2026-01-27 12:00:00,15.72228201007383,14.700085120214116,HKCL
2026-01-27 12:10:00,14.678152239548904,17.021493210804202,HKCL
2026-01-27 12:20:00,15.64698711970248,19.898981297740733,HKCL
2026-01-27 12:30:00,18.148578465270276,21.179019480349034,HKCL
2026-01-27 12:40:00,18.331239824194853,19.416884434726633,HKCL
2026-01-27 12:50:00,17.37998660016288,20.298361535591255,HKCL
2026-01-27 13:00:00,19.49222295127891,18.25207400102032,HKCL
2026-01-27 13:10:00,23.00732135825333,23.61603199843578,HKCL
2026-01-27 13:20:00,21.270831049803608,26.37589476597774,HKCL
2026-01-27 13:30:00,18.962486705709914,28.878126102444323,HKCL
