Observation Time,X,Y,Z
2025-2-24 6:47:0,104910.44209883083,403282.9794911167,32961.01402590796
2025-2-24 6:48:0,104910.55723793525,403282.5216628297,32961.616191040725
2025-2-24 6:48:0,104910.51036544424,403282.70619745576,32961.531634151936
2025-2-24 6:49:0,104910.49096522201,403282.8085926811,32961.635313574225
2025-2-24 6:49:0,104910.31658952218,403282.90135810175,32961.352692849934
2025-2-24 6:50:0,104910.19702521991,403283.031990221,32961.25672720745
2025-2-24 6:50:0,104910.40696727019,403282.75346602337,32961.58044199273
2025-2-24 6:51:0,104910.25218122918,403282.7584891694,32961.472261656076
2025-2-24 6:51:0,104910.40613565687,403283.1239760688,32961.25721863285
2025-2-24 6:52:0,104910.43157020304,403282.95415112213,32961.470493454486
2025-2-24 6:52:0,104910.09729898069,403282.7808062325,32961.63180762157
2025-2-24 6:53:0,104910.3153045373,403282.6929840485,32961.60727513954
2025-2-24 6:53:0,104910.3218170302,403282.79713848257,32961.452980645
2025-2-24 6:54:0,104910.211712596,403282.74535087333,32961.76417827606
2025-2-24 6:54:0,104910.58029628266,403282.76687593036,32961.7113554962
2025-2-24 6:55:0,104910.40309284162,403282.6678186583,32961.73588482663
2025-2-24 6:55:0,104910.5412354013,403282.9554558473,32961.556928142905
2025-2-24 6:56:0,104910.39600686822,403283.049074596,32961.22000428289
2025-2-24 6:56:0,104910.05099448655,403282.9505180272,32961.53466253355
2025-2-24 6:57:0,104909.95712715853,403282.56428619125,32961.927618127316
2025-2-24 6:57:0,104910.3461394636,403282.662154997,32961.71816665307
2025-2-24 6:58:0,104910.39004109893,403282.7138750332,32961.557470906526
2025-2-24 6:58:0,104910.61257353704,403282.9273293393,32961.05589472875
2025-2-24 6:59:0,104910.11889504176,403282.54868388013,32961.71218397468
2025-2-24 6:59:0,104910.27470139693,403282.78251246386,32961.58429385349
2025-2-24 7:0:0,104910.28619650844,403282.9608973826,32961.42719125375
2025-2-24 7:0:0,104910.50407040771,403282.9205612785,32961.51654348895
2025-2-24 7:1:0,104910.82852204237,403282.90158642665,32961.416179575026
2025-2-24 7:1:0,104910.75075674523,403282.7639982628,32961.76206186414
2025-2-24 7:2:0,104910.52633481752,403282.73460768,32961.83225001767
2025-2-24 7:2:0,104910.66906816047,403282.89107891754,32961.75750091672
2025-2-24 7:3:0,104910.33994965721,403282.94303572574,32961.46534651518
2025-2-24 7:3:0,104910.1377025554,403282.68719304004,32961.50234292075
2025-2-24 7:4:0,104910.30464926269,403282.85024300613,32961.6532888487
2025-2-24 7:4:0,104910.09540156182,403283.1093851405,32961.47439331189
2025-2-24 7:5:0,104910.3858481897,403282.73122322955,32961.68671287224
2025-2-24 7:5:0,104910.44578177389,403282.6108039527,32961.815401121974
2025-2-24 7:6:0,104910.21617192496,403282.7289597655,32961.804221995175
2025-2-24 7:6:0,104910.16820376087,403282.2439301221,32962.10645249486
2025-2-24 7:7:0,104910.27121136617,403282.62317453534,32961.836843036115
2025-2-24 7:7:0,104910.21793165524,403282.65448818565,32961.75631581992
2025-2-24 7:8:0,104910.54303764459,403282.377706161,32961.98451498523
2025-2-24 7:8:0,104910.18008386996,403282.52361102425,32961.67983614653
2025-2-24 7:9:0,104910.13744547497,403282.4126718326,32961.651223130524
2025-2-24 7:9:0,104910.21080343705,403282.3486621643,32961.79920165986
2025-2-24 7:10:0,104910.29044869449,403282.54213559837,32961.689339932054
2025-2-24 7:10:0,104910.14766677003,403282.7038645374,32961.781734995544
2025-2-24 7:11:0,104910.52811872121,403282.5857570621,32961.91805234924
2025-2-24 7:11:0,104910.22893586848,403282.8663378919,32961.59326344356
2025-2-24 7:12:0,104910.1836367948,403283.23210802884,32961.26253589988
2025-2-24 7:12:0,104910.70443317201,403282.83984022983,32961.492819901556
2025-2-24 7:13:0,104910.71259039175,403282.97730539204,32961.2528386116
2025-2-24 7:13:0,104910.30149021279,403282.4955305292,32961.93651492149
2025-2-24 7:14:0,104910.44250787515,403282.8166552263,32961.43509280309
2025-2-24 7:14:0,104910.3876640303,403282.87534666085,32961.679539788514
2025-2-24 7:15:0,104910.1631656317,403282.78199908906,32961.79700638726
2025-2-24 7:15:0,104910.43208853807,403283.0314241594,32961.4051047191
2025-2-24 7:16:0,104910.30888362695,403282.8694932519,32961.506359990686
2025-2-24 7:16:0,104910.39707627427,403282.6185740123,32961.70117780939
2025-2-24 7:17:0,104910.56409028638,403282.74049161025,32961.74166140333
2025-2-24 7:17:0,104910.23274292145,403282.76699379296,32961.815316066146
2025-2-24 7:18:0,104910.69169246871,403282.50922940695,32961.70274555683
2025-2-24 7:18:0,104910.32551289443,403282.5619241225,32961.77698965371
2025-2-24 7:19:0,104909.98817307036,403282.7635576299,32961.4918211326
2025-2-24 7:19:0,104910.67060455214,403282.607016681,32961.73991693556
2025-2-24 7:20:0,104910.1958703557,403282.57555056945,32961.4544393681
2025-2-24 7:20:0,104910.04062632937,403282.9225517812,32961.2904856205
2025-2-24 7:21:0,104910.46219720598,403282.60830873647,32961.65231620148
2025-2-24 7:21:0,104909.39913490135,403283.3252969759,32960.51789325103
2025-2-24 7:22:0,104911.16983795073,403282.4307298346,32961.69236580655
2025-2-24 7:22:0,104910.46424536686,403282.6418661794,32961.511502269655
2025-2-24 7:23:0,104910.41416828427,403282.7156668345,32961.304453704506
2025-2-24 7:23:0,104910.47345315013,403282.59418479004,32961.79979366809
2025-2-24 7:24:0,104910.7084982181,403282.69845024147,32961.32699963823
2025-2-24 7:24:0,104910.9287830675,403282.74347445206,32961.17379064113
2025-2-24 7:25:0,104910.98932229634,403282.5604718013,32961.46930251643
2025-2-24 7:25:0,3551816.158741451,-2317826.4773622914,4481927.937993195
2025-2-24 7:26:0,5274902.358866491,-3678091.8687447733,6705938.5370946415
2025-2-24 7:26:0,6136093.962492048,-4357946.839769658,7817489.678318154
2025-2-24 7:27:0,6566355.162888638,-4697610.66312702,8372834.142425658
2025-2-24 7:27:0,6781167.060857673,-4867191.221636772,8650095.741060989
2025-2-24 7:28:0,6888272.451660044,-4951743.597603256,8788337.417347873
2025-2-24 7:28:0,6941539.329340168,-4993794.228642993,8857089.325916283
2025-2-24 7:29:0,6967903.431452627,-5014607.336849911,8891118.288245717
2025-2-24 7:29:0,246901.09636332188,291190.1309020503,216230.82567698136
2025-2-24 7:30:0,246901.15993138123,291190.1306429433,216231.14072608761
2025-2-24 7:30:0,246900.86124043632,291190.0454366545,216231.4244531151
2025-2-24 7:31:0,246900.42742673028,291190.7817738021,216229.9879483208
2025-2-24 7:31:0,246900.2644685628,291190.8862975149,216230.06740158424
2025-2-24 7:32:0,271150.61973098014,224692.15187517347,348288.13022545446
2025-2-24 7:32:0,271150.9462691108,224691.9325355485,348288.48775290325
2025-2-24 7:33:0,271150.7438788833,224691.99613417572,348288.6969524529
2025-2-24 7:33:0,271150.3871658603,224692.1380492044,348288.4515376445
2025-2-24 7:34:0,271150.38148016576,224691.99562889294,348288.86110496055
2025-2-24 7:34:0,271150.8964971984,224691.93358911484,348288.75003305264
2025-2-24 7:35:0,271150.85296553466,224691.6743838501,348288.8122411221
2025-2-24 7:35:0,271150.8554246025,224691.79657334907,348288.86146234535
2025-2-24 7:36:0,271151.08856070135,224691.52748144188,348289.0212364886
2025-2-24 7:36:0,271150.9213057542,224691.65082098337,348288.9747524047
2025-2-24 7:37:0,271150.7721682722,224692.19772215004,348288.48190930765
2025-2-24 7:37:0,271150.0575570287,224692.59840426783,348287.7145327721
2025-2-24 7:38:0,271149.84681898076,224692.54815626892,348287.75802761875
2025-2-24 7:38:0,271150.38041610736,224692.48907485305,348287.6535603106
2025-2-24 7:39:0,271150.4526660675,224692.31507847647,348287.98861725256
2025-2-24 7:39:0,271150.72313664574,224692.24442333056,348287.83951328695
2025-2-24 7:40:0,271151.46892808843,224691.71954983918,348288.8592473641
2025-2-24 7:40:0,271151.655328867,224691.4403417886,348288.5352181569
2025-2-24 7:41:0,271151.03659992386,224691.8809715263,348288.5485674441
2025-2-24 7:41:0,271149.6064049611,224692.86590182644,348287.5821969416
2025-2-24 7:42:0,271148.75833515543,224693.53021727482,348287.15041671135
2025-2-24 7:42:0,271149.6752857277,224693.00367635887,348287.4109947849
2025-2-24 7:43:0,271150.8243357213,224691.83406995356,348288.9564813487
2025-2-24 7:43:0,271151.9830458062,224691.37902131354,348288.7613391904
2025-2-24 7:44:0,271151.8805650743,224691.53016347604,348288.3897663001
2025-2-24 7:44:0,271151.0336021418,224692.35258685055,348287.7759322617
2025-2-24 7:45:0,271150.3434823649,224692.69913867235,348287.26732965186
2025-2-24 7:45:0,271149.797329315,224692.80344652038,348287.4293216616
2025-2-24 7:46:0,271150.18477382604,224692.56638382495,348287.77552357875
2025-2-24 7:46:0,271151.2868755283,224691.43664810344,348289.1020996664
2025-2-24 7:47:0,271151.67299173493,224691.3354261888,348289.22197119705
2025-2-24 7:47:0,271151.07536092494,224691.8956559026,348288.6125697112
2025-2-24 7:48:0,288381.4752484495,244064.15269529007,327271.7416613437
2025-2-24 7:48:0,288381.4675524505,244063.72405020453,327272.605196394
2025-2-24 7:49:0,288381.993500703,244062.86605268184,327272.57000019774
2025-2-24 7:49:0,288382.34190913755,244062.70687198293,327272.88238625415
2025-2-24 7:50:0,288382.3839427093,244062.3378201018,327273.7558143381
2025-2-24 7:50:0,288381.5776533643,244063.37659153834,327272.93289686367
2025-2-24 7:51:0,288382.35398890544,244062.58342156772,327273.3696644902
2025-2-24 7:51:0,288382.0400292808,244062.75809745517,327272.9125201106
2025-2-24 7:52:0,288382.54514741804,244062.11205970895,327273.6678432841
2025-2-24 7:52:0,288383.37417665776,244061.28251124945,327275.13969000056
2025-2-24 7:53:0,288383.3298108103,244061.20736234848,327274.8859647736
2025-2-24 7:53:0,288382.8319669133,244061.6472403838,327274.4228808321
2025-2-24 7:54:0,288382.17407348845,244062.44653363552,327273.31059580296
2025-2-24 7:54:0,288383.12219119165,244061.62577184782,327274.2048901487
2025-2-24 7:55:0,288382.9010586096,244061.58419879273,327273.8544063214
2025-2-24 7:55:0,288382.39851386566,244062.0553193542,327273.3297730107
2025-2-24 7:56:0,288382.4253280321,244062.01197618272,327273.3955575507
2025-2-24 7:56:0,288383.072127155,244061.7504729473,327274.15629567206
2025-2-24 7:57:0,6371816.910824625,-5851658.358668285,11412509.53884998
2025-2-24 7:57:0,6383374.7531462135,-5863239.609550485,11433570.05443661
2025-2-24 7:58:0,3250399.145889528,-2723936.293919768,5724661.202840927
2025-2-24 7:58:0,1683911.1818650183,-1154284.631568414,2870206.1921243714
2025-2-24 7:59:0,900667.0951228798,-369458.9035855981,1442979.2749070106
2025-2-24 7:59:0,509044.69438835885,22954.45361902358,729365.9490934787
2025-2-24 8:0:0,313233.6175011592,219160.84952770805,372558.66434588656
2025-2-24 8:0:0,215328.19136192556,317263.97251322656,194155.6683051763
2025-2-24 8:1:0,166375.58843189385,366315.7230420124,104953.58084654622
2025-2-24 8:1:0,141899.13765564002,390841.9953736032,60352.544267475605
2025-2-24 8:2:0,129660.86842059297,403104.5598692128,38052.85263514519
2025-2-24 8:2:0,123541.56950050266,409236.1121850137,26902.07893613819
2025-2-24 8:3:0,120481.67598170787,412302.4052037548,21327.210249647498
2025-2-24 8:3:0,118952.03523821384,413835.1965205509,18539.51091103349
2025-2-24 8:4:0,118186.92695226613,414601.89265409275,17145.47977037262
2025-2-24 8:4:0,5283949.215620221,-3420469.5523603833,4647054.19461108
2025-2-24 8:5:0,5281892.6380016655,-3418893.1874735807,4645033.73417472
2025-2-24 8:5:0,5278911.2107710065,-3416654.8099273867,4642272.679287336
2025-2-24 8:6:0,5275471.590302327,-3414088.7889372227,4639145.620599896
2025-2-24 8:6:0,2701818.3122168044,-1503348.3862917535,2332262.101355207
2025-2-24 8:7:0,1414991.7717472157,-547978.6290026736,1178821.050445567
2025-2-24 8:7:0,771578.0200542798,-70293.22878909876,602100.3106912114
2025-2-24 8:8:0,439587.31358148204,186335.00756853426,324590.163757097
2025-2-24 8:8:0,258714.84318526043,340379.28577341954,201531.71776354313
2025-2-24 8:9:0,168278.67841288634,417401.1058331847,140001.89077175967
2025-2-24 8:9:0,123060.46689866856,455912.3659404891,109236.73983174749
2025-2-24 8:10:0,100451.44598623179,475168.01444890234,93854.83659619652
2025-2-24 8:10:0,89147.24189191498,484795.80794333457,86163.4773512166
2025-2-24 8:11:0,83495.07781703584,489609.5856041063,82317.59296808392
2025-2-24 8:11:0,80668.87796338554,492016.4365129436,80394.90960028209
2025-2-24 8:12:0,79255.54968338739,493220.1635101645,79433.48732452281
2025-2-24 8:12:0,78549.13838020572,493821.83427742287,78953.13768243231
2025-2-24 8:13:0,78196.09541244851,494122.2648736078,78712.77864118852
2025-2-24 8:13:0,78019.11974004842,494273.10095840297,78592.7255504299
2025-2-24 8:14:0,77930.74483404029,494348.4712084939,78533.23808382824
2025-2-24 8:14:0,77886.83603392215,494385.79875686974,78502.30182366073
2025-2-24 8:15:0,77864.71988663776,494404.6526680931,78487.26338725537
2025-2-24 8:15:0,77853.67657354986,494414.018463657,78479.39114261232
2025-2-24 8:16:0,77848.26686273469,494418.7898659671,78475.42256406322
2025-2-24 8:16:0,77845.54498728178,494421.12758493307,78473.76414598152
2025-2-24 8:17:0,77844.0012283139,494422.1254227462,78473.36830419488
2025-2-24 8:17:0,77843.43383757304,494422.5402306814,78472.85700544901
2025-2-24 8:18:0,77842.91562954104,494423.1166192109,78472.7527770549
2025-2-24 8:18:0,77842.58434823295,494423.0377367262,78472.58955677599
2025-2-24 8:19:0,77842.72620479716,494423.12445670855,78472.5174078811
2025-2-24 8:19:0,77842.90078781452,494423.07571414043,78472.52260985412
2025-2-24 8:20:0,77842.65914102597,494423.0783990838,78472.6472243201
2025-2-24 8:20:0,77842.5308273402,494423.04587620473,78472.41239448637
2025-2-24 8:21:0,77842.51202356443,494423.4060962049,78472.28725488111
2025-2-24 8:21:0,77842.61625925265,494423.404672181,78472.3399958387
2025-2-24 8:22:0,-867385.6430337382,1145721.272043409,3431749.818374373
2025-2-24 8:22:0,-1340699.383188733,1471852.0894728482,5110868.921101153
2025-2-24 8:23:0,-1578055.1301676584,1635399.1781375522,5952908.648123169
2025-2-24 8:23:0,-1697431.7573665977,1717654.3782801998,6376407.783592289
2025-2-24 8:24:0,75625.71070360951,495951.28238227754,86337.14215751737
2025-2-24 8:24:0,75625.66982904449,495951.277728476,86336.14395541511
2025-2-24 8:25:0,75625.67425661162,495951.3621330159,86336.90304535069
2025-2-24 8:25:0,75625.50508496072,495951.0988160947,86336.98595609143
2025-2-24 8:26:0,75625.81054016855,495950.6419175741,86337.47935479134
2025-2-24 8:26:0,75625.8294540979,495950.5078732746,86337.30361049622
2025-2-24 8:27:0,75625.56729401834,495950.7764028184,86337.28328361455
2025-2-24 8:27:0,75625.78372969199,495950.7561327374,86337.50400434993
2025-2-24 8:28:0,-21097.46864897292,404541.68079368887,-11365.373802682385
2025-2-24 8:28:0,-21097.74152528029,404541.51273560827,-11366.079983487725
2025-2-24 8:29:0,-21097.422018325888,404541.4172258435,-11365.273354986683
2025-2-24 8:29:0,-21097.783777750097,404541.9098020003,-11365.771990913898
2025-2-24 8:30:0,-21097.533053842373,404542.2380080235,-11365.706408606842
2025-2-24 8:30:0,-21097.47233651299,404542.1946726481,-11365.384244101122
2025-2-24 8:31:0,-21097.938437872566,404541.7175558128,-11365.945498645306
2025-2-24 8:31:0,-21097.767057974823,404541.09797287197,-11365.960393186659
2025-2-24 8:32:0,1865763.2292447248,-1336232.165534247,5843370.6158871185
2025-2-24 8:32:0,2810052.444594943,-2207411.1841925397,8773403.909785932
2025-2-24 8:33:0,3283060.8485741494,-2643798.687869611,10241102.506851615
2025-2-24 8:33:0,3520435.7141086804,-2862795.249202093,10977651.525765013
2025-2-24 8:34:0,3640000.6049862662,-2973102.5504477504,11348648.67296302
2025-2-24 8:34:0,3700665.5175875826,-3029070.41384629,11536885.959877051
2025-2-24 8:35:0,3731886.668331654,-3057874.2369018677,11633761.664715292
2025-2-24 8:35:0,3748391.401292381,-3073101.283527647,11684975.23185684
2025-2-24 8:36:0,22383.11401695665,364426.934889199,123552.69145423826
2025-2-24 8:36:0,22383.641710732132,364426.79905614234,123552.29080896266
2025-2-24 8:37:0,22383.697585229762,364427.05793966376,123552.67503950745
2025-2-24 8:37:0,22383.27875517402,364426.6620676748,123552.57383565046
2025-2-24 8:38:0,22383.26311792247,364426.47432019096,123551.86668940634
2025-2-24 8:38:0,22383.24205122236,364426.9234985523,123552.42734909058
2025-2-24 8:39:0,22383.183037440293,364426.50034251786,123552.27194631658
2025-2-24 8:39:0,22383.693169490434,364427.11958447983,123553.43136070948
2025-2-24 8:40:0,22383.521744183265,364427.159367793,123553.73342035338
2025-2-24 8:40:0,22383.05752753187,364426.4911670645,123552.21850430872
2025-2-24 8:41:0,22382.85305165779,364426.02352283173,123551.0769897215
2025-2-24 8:41:0,22383.616632713936,364427.2959940266,123552.6898974739
2025-2-24 8:42:0,22383.48244864866,364426.920994567,123552.51326287165
2025-2-24 8:42:0,22383.09929568786,364426.0319579153,123551.06151417177
2025-2-24 8:43:0,22382.79325109627,364425.8623292111,123551.2735819593
2025-2-24 8:43:0,22383.372523915954,364426.4556598244,123552.47099625971
2025-2-24 8:44:0,22383.68748654332,364426.6522644323,123552.85203668755
2025-2-24 8:44:0,22383.54596667178,364426.9103464524,123553.12445241958
2025-2-24 8:45:0,22383.98312095739,364427.3644237581,123553.61757538747
2025-2-24 8:45:0,22383.51262507867,364426.6637006253,123552.36502845958
2025-2-24 8:46:0,22383.198339410126,364426.52405074565,123552.37597371452
2025-2-24 8:46:0,22382.96544459369,364426.616366134,123552.46823567804
2025-2-24 8:47:0,22382.849503084086,364426.1780159399,123551.62724884879
2025-2-24 8:47:0,22383.24157490488,364426.4202024685,123551.69142115116
2025-2-24 8:48:0,22383.583966868,364426.68532875273,123552.23578127753
2025-2-24 8:48:0,22383.132866943255,364426.661461744,123552.20114182588
2025-2-24 8:49:0,22383.564984899014,364426.6700687234,123552.25923649594
2025-2-24 8:49:0,22383.372149016708,364426.3531051134,123551.56643121969
2025-2-24 8:50:0,22383.463515442796,364426.6216715493,123552.1170086246
2025-2-24 8:50:0,22383.413634222,364426.49627210735,123551.96887052152
2025-2-24 8:51:0,2780.6120220916346,362418.23898353823,156527.20227490366
2025-2-24 8:51:0,2780.5618530707434,362418.32559133903,156527.07324248552
2025-2-24 8:52:0,2780.5869956584647,362418.15508772177,156527.0116110444
2025-2-24 8:52:0,2780.548987449147,362418.0804343915,156526.7156146504
2025-2-24 8:53:0,2781.0600299695507,362418.6724581665,156527.76065930352
2025-2-24 8:53:0,2780.8352891737595,362418.0589788987,156526.95159268007
2025-2-24 8:54:0,2780.502359387465,362417.5214763463,156525.69589105994
2025-2-24 8:54:0,2780.700682857074,362418.0010350433,156525.96211548522
2025-2-24 8:55:0,2781.0347572872415,362418.8188270659,156527.3154010363
2025-2-24 8:55:0,2781.602509968914,362419.34245249094,156528.36321327835
2025-2-24 8:56:0,2781.5064178342,362419.509145099,156529.1086732112
2025-2-24 8:56:0,2780.8125644484535,362418.4187488735,156527.34459846094
2025-2-24 8:57:0,2779.697212547995,362417.0043827819,156524.77882754803
2025-2-24 8:57:0,2779.1979858847335,362416.75669717346,156524.39536357298
2025-2-24 8:58:0,2780.110062592663,362417.33778155246,156525.41581101343
2025-2-24 8:58:0,2780.8169127153233,362418.067947889,156526.6055918783
2025-2-24 8:59:0,-282730.03935320955,-12497.986341915763,-521259.9037094936
2025-2-24 8:59:0,-282730.28772118967,-12498.187394045031,-521260.1763147041
2025-2-24 9:0:0,-282730.7623156337,-12498.195825077331,-521260.2635925934
2025-2-24 9:0:0,-282730.64582288545,-12498.305121429003,-521260.8553445563
2025-2-24 9:1:0,-282730.6342278598,-12498.446719042695,-521260.9181208536
2025-2-24 9:1:0,-282730.9859519927,-12498.756641886866,-521261.5378879532
2025-2-24 9:2:0,-282731.10583512764,-12498.845655269659,-521261.06840019673
2025-2-24 9:2:0,-282730.70956018846,-12498.404378182924,-521260.28797569126
2025-2-24 9:3:0,-282730.96218280774,-12498.788235731161,-521260.9204842672
2025-2-24 9:3:0,-282730.809612724,-12498.685483075416,-521260.9525210783
2025-2-24 9:4:0,-282731.0176604865,-12498.823948688543,-521261.3054889366
2025-2-24 9:4:0,-282731.2313990621,-12498.667257420457,-521261.20653703064
2025-2-24 9:5:0,-282730.8781212,-12498.419026769436,-521260.41023852676
2025-2-24 9:5:0,-282730.34035383444,-12498.288732431567,-521260.78522437066
2025-2-24 9:6:0,-282730.3489346085,-12498.212691299355,-521260.62249913067
2025-2-24 9:6:0,-282730.7034867881,-12498.448156602419,-521260.74245702475
2025-2-24 9:7:0,-282730.97521087807,-12498.566914207971,-521260.66070654243
2025-2-24 9:7:0,-282730.6786509482,-12498.33490552727,-521260.32801603526
2025-2-24 9:8:0,-282730.92932001036,-12498.242593995965,-521260.5972578153
2025-2-24 9:8:0,-282731.3527136473,-12498.378755263722,-521260.79396068305
2025-2-24 9:9:0,-282730.937068644,-12498.140273116267,-521260.30600007623
2025-2-24 9:9:0,-282730.6016023038,-12498.113278902805,-521260.0033252761
2025-2-24 9:10:0,118367.94928022008,491481.82822297735,379629.3981972039
2025-2-24 9:10:0,118367.7586104935,491481.77148976317,379629.4745859839
2025-2-24 9:11:0,118367.63629750069,491482.2159379708,379629.6733323671
2025-2-24 9:11:0,118367.61123176944,491482.0969416087,379629.9986925274
2025-2-24 9:12:0,118367.66554443259,491482.2704602146,379629.9420007728
2025-2-24 9:12:0,118367.7228056984,491482.36720119335,379630.282088574
2025-2-24 9:13:0,118367.78095907066,491482.1265656722,379630.28377724066
2025-2-24 9:13:0,118367.67926526908,491482.11793464865,379629.8764738403
2025-2-24 9:14:0,118367.55381643306,491482.07364837476,379630.2217482105
2025-2-24 9:14:0,-76041.39348029997,-2668039.4447080414,14712263.090066675
2025-2-24 9:15:0,118367.48645182047,491481.8805993034,379630.0937672369
2025-2-24 9:15:0,22990.373166701756,-1058583.1933552343,7411236.554932205
2025-2-24 9:16:0,72506.41639973503,-253854.39240990588,3760721.8842580235
2025-2-24 9:16:0,97264.37448671926,148509.52117788108,1935465.85008509
2025-2-24 9:17:0,109643.69033162203,349691.5322419357,1022837.4912201953
2025-2-24 9:17:0,115832.90737024974,450282.76086217,566523.2922344068
2025-2-24 9:18:0,118927.44859642256,500578.5549438391,338365.5352134295
2025-2-24 9:18:0,120475.18413581047,525726.0460888781,224287.55790196173
2025-2-24 9:19:0,121248.71545698773,538300.0693920351,167247.07912644744
2025-2-24 9:19:0,121635.61311073322,544586.8000951945,138728.1624457687
2025-2-24 9:20:0,121828.60988633428,547730.3915853072,124469.16933410522
2025-2-24 9:20:0,121925.42940138374,549302.2158301928,117338.40789587423
2025-2-24 9:21:0,121973.96195830125,550088.3205129994,113772.34961037803
2025-2-24 9:21:0,121997.72582918871,550481.2680462169,111989.48651664145
2025-2-24 9:22:0,122010.03992349561,550677.5276472995,111100.02256432269
2025-2-24 9:22:0,122016.19816434663,550775.31820433,110655.30153973773
2025-2-24 9:23:0,122019.24318312015,550824.8069827615,110431.85679328255
2025-2-24 9:23:0,122021.04860338476,550849.2985424836,110319.10716827773
2025-2-24 9:24:0,122021.74587393459,550861.4630240821,110264.16203490272
2025-2-24 9:24:0,122021.97399714869,550867.8425896092,110236.16567916702
2025-2-24 9:25:0,122022.23210547213,550870.9205567123,110221.88912445493
2025-2-24 9:25:0,122022.23584803287,550872.3916617867,110214.62563365418
2025-2-24 9:26:0,122022.1632926343,550873.6499915486,110211.82311788667
2025-2-24 9:26:0,122021.98453561496,550873.7670289262,110210.52693511639
2025-2-24 9:27:0,122022.35712210182,550873.996315504,110209.08951128833
2025-2-24 9:27:0,122022.70128658693,550873.5701730804,110208.71573762689
2025-2-24 9:28:0,122022.4368567979,550873.7751948264,110209.0819435697
2025-2-24 9:28:0,122022.212820285,550874.14416801,110208.38487596437
2025-2-24 9:29:0,122022.36900676508,550873.8944544888,110207.8109541377
2025-2-24 9:29:0,122022.0381349558,550873.7778624839,110207.85828680266
2025-2-24 9:30:0,122022.12277610693,550873.9194553016,110207.7157224901
2025-2-24 9:30:0,122021.84373995196,550874.5633015959,110207.71765638329
2025-2-24 9:31:0,122022.19918849785,550874.0073676266,110208.25128158275
2025-2-24 9:31:0,122022.06273481529,550873.9574315018,110209.10191195644
2025-2-24 9:32:0,122022.5850849757,550873.6911610903,110207.9145782264
2025-2-24 9:32:0,122022.63057383616,550873.7404285963,110207.63315915316
2025-2-24 9:33:0,122022.23298966978,550873.8167897565,110208.47140502557
2025-2-24 9:33:0,122022.51651771646,550873.5610423946,110207.97750819102
2025-2-24 9:34:0,122022.20616015699,550873.9500781841,110207.7895779172
2025-2-24 9:34:0,122022.08075917792,550874.0766617965,110208.19237667322
2025-2-24 9:35:0,122022.05402709823,550874.1170237,110207.86223994475
2025-2-24 9:35:0,122021.75773184095,550874.5477308402,110207.87856298778
2025-2-24 9:36:0,122021.97412723769,550874.279223539,110208.19917861
2025-2-24 9:36:0,122022.03935771156,550874.4075318811,110208.23688500002
2025-2-24 9:37:0,122022.15535458829,550874.0493667761,110207.64871685207
2025-2-24 9:37:0,122022.1238696361,550874.0049496032,110208.13749209605
2025-2-24 9:38:0,122022.2027941877,550874.046760827,110208.0850638058
2025-2-24 9:38:0,122021.9843696868,550873.8820289959,110207.63015936874
2025-2-24 9:39:0,122022.6323330598,550873.8670775465,110207.86531257257
2025-2-24 9:39:0,122022.43447863776,550873.7933819195,110208.24695097469
2025-2-24 9:40:0,122022.45287988055,550873.724773166,110207.82849173341
2025-2-24 9:40:0,122021.97146018501,550874.0856489507,110207.52816347498
2025-2-24 9:41:0,122022.56945722457,550874.034956809,110207.74761044793
2025-2-24 9:41:0,122022.67109623831,550873.5301203728,110207.66501378268
2025-2-24 9:42:0,122022.52678272966,550873.7669597812,110207.80017821584
2025-2-24 9:42:0,122021.80113997031,550874.6515706843,110208.50578141212
2025-2-24 9:43:0,122022.57849290874,550873.919040429,110208.23385422863
2025-2-24 9:43:0,122022.81800961588,550873.8718971983,110207.7951829359
2025-2-24 9:44:0,122022.60718617868,550873.977403711,110208.35920212325
2025-2-24 9:44:0,122022.00197263528,550874.0820834279,110208.87645398453
2025-2-24 9:45:0,122022.27542161103,550874.1349687965,110208.17330887727
2025-2-24 9:45:0,122022.20275072847,550873.7856227285,110208.00307647139
2025-2-24 9:46:0,122022.21202274133,550873.9966154195,110208.60815739166
2025-2-24 9:46:0,122022.51052625943,550873.7283782307,110208.13271226268
2025-2-24 9:47:0,122022.08498752955,550874.0309098108,110207.83976423554
2025-2-24 9:47:0,122022.3768612789,550873.638221582,110207.49699020665
2025-2-24 9:48:0,122022.43778948952,550873.5346044843,110208.32954622805
2025-2-24 9:48:0,122022.78598843608,550873.6798043575,110207.5078048557
2025-2-24 9:49:0,122022.38406495098,550873.7421644328,110207.4514753623
2025-2-24 9:49:0,122022.32301942538,550873.9523822237,110208.10912359226
2025-2-24 9:50:0,122022.62445791345,550873.6129274737,110207.66492131352
2025-2-24 9:50:0,122022.50433371868,550873.2845869398,110207.81361876987
2025-2-24 9:51:0,122022.86854726356,550873.7355701071,110207.12892040983
2025-2-24 9:51:0,122023.11973497737,550873.5971641252,110207.8007210046
2025-2-24 9:52:0,122022.88341544848,550873.2342810576,110207.35857246444
2025-2-24 9:52:0,122023.16479360405,550873.4434524459,110206.94054200128
2025-2-24 9:53:0,122022.59248585906,550873.7273638591,110207.77409943938
2025-2-24 9:53:0,122022.29252310563,550873.5400074103,110207.25523014553
2025-2-24 9:54:0,122022.25095283892,550873.5605148405,110207.68338621967
