Observation Time,X,Y,Z
2025-2-24 3:36:0,1169279.1135688322,-17790659.43907501,9883447.590779893
2025-2-24 3:37:0,1165850.603163518,-18134707.658960827,9854182.913962789
2025-2-24 3:37:0,1164612.6187128434,-18314355.978598937,9843511.210721888
2025-2-24 3:38:0,1164469.5925100092,-18411799.839655798,9842133.329072066
2025-2-24 3:38:0,1164873.8495882628,-18468137.559524823,9845400.310149513
2025-2-24 3:39:0,1165551.868558649,-18503920.404298153,9850989.5334853
2025-2-24 3:39:0,1166366.417365997,-18529420.01108802,9857736.16842132
2025-2-24 3:40:0,1167249.2371568577,-18549776.186200384,9865061.546089716
2025-2-24 3:40:0,-57195.075145940296,1044284.8165201473,-315090.6855562106
2025-2-24 3:41:0,-57185.8523166338,1042578.7257424074,-315017.45362415165
2025-2-24 3:41:0,-57181.38770992402,1041728.3271271663,-314980.80839849263
2025-2-24 3:42:0,-57179.20339845121,1041302.523888387,-314962.716847457
2025-2-24 3:42:0,-57177.58515293803,1041089.486758806,-314953.3215338513
2025-2-24 3:43:0,-57177.341786284,1040982.9562675583,-314948.98085882515
2025-2-24 3:43:0,-57177.19427462574,1040929.8944170403,-314947.11249306053
2025-2-24 3:44:0,-57177.01177558489,1040903.061445974,-314945.7086717859
2025-2-24 3:44:0,-57176.61722080223,1040890.1347781199,-314944.87939029187
2025-2-24 3:45:0,-57176.706552113406,1040882.5696580934,-314944.86180917174
2025-2-24 3:45:0,-57176.45673802961,1040878.6038211363,-314944.5991997048
2025-2-24 3:46:0,-57176.369774681516,1040876.9234426843,-314944.16679569334
2025-2-24 3:46:0,-57176.605953632854,1040875.7063350456,-314944.13038843125
2025-2-24 3:47:0,-57176.487340844236,1040875.1259198862,-314944.1239313856
2025-2-24 3:47:0,-57176.54298707005,1040874.9179554211,-314944.2585244402
2025-2-24 3:48:0,-57176.53662256338,1040874.7060770022,-314944.19509034604
2025-2-24 3:48:0,-57176.98200865276,1040874.0267808365,-314944.26161215454
2025-2-24 3:49:0,-57176.39715867769,1040874.4230033236,-314944.01900260895
2025-2-24 3:49:0,-57176.90312532056,1040875.2313354241,-314944.4952576682
2025-2-24 3:50:0,-57176.868344398215,1040875.3007998096,-314944.19726171345
