#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 02 10 30 999 99.0 99.0  1.48  5.88  4.51  81 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 11 00 999 99.0 99.0  1.35  5.26  4.31 108 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 11 30 999 99.0 99.0  1.41  5.26  4.51 108 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 12 00 999 99.0 99.0  1.35  5.88  4.38  84 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 12 30 999 99.0 99.0  1.33  5.56  4.42  95 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 13 00 999 99.0 99.0  1.38  5.26  4.43 107 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 13 30 999 99.0 99.0  1.35  5.56  4.32  97 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 14 00 999 99.0 99.0  1.32  4.76  4.24 114 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 14 30 999 99.0 99.0  1.31  5.56  4.18  95 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 15 00 999 99.0 99.0  1.26  5.26  4.25 108 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 15 30 999 99.0 99.0  1.29  5.56  4.27  95 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 16 00 999 99.0 99.0  1.20  5.26  4.35 101 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 16 30 999 99.0 99.0  1.27  5.26  4.55 102 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 17 00 999 99.0 99.0  1.18  5.00  4.35 109 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 17 30 999 99.0 99.0  1.30  5.88  4.46  90 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 18 00 999 99.0 99.0  1.28  5.26  4.41 108 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 18 30 999 99.0 99.0  1.31  5.26  4.35 114 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 19 00 999 99.0 99.0  1.38  5.26  4.39 111 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 19 30 999 99.0 99.0  1.28  5.56  4.29 116 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 20 00 999 99.0 99.0  1.33  5.26  4.32 111 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 20 30 999 99.0 99.0  1.37  5.26  4.31 116 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 21 00 999 99.0 99.0  1.39  5.26  4.33 114 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 21 30 999 99.0 99.0  1.37  5.56  4.24 119 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 22 00 999 99.0 99.0  1.33  5.00  4.27 116 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 22 30 999 99.0 99.0  1.32  6.25  4.28 119 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 23 00 999 99.0 99.0  1.29  5.56  4.13 116 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 02 23 30 999 99.0 99.0  1.33  4.55  4.28 121 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 00 00 999 99.0 99.0  1.29  5.26  4.23 112 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 00 30 999 99.0 99.0  1.28  5.00  4.16 123 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 01 00 999 99.0 99.0  1.23  5.00  4.20 112 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 01 30 999 99.0 99.0  1.20  5.26  4.10 119 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 02 00 999 99.0 99.0  1.23  5.26  4.05 108 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 03 02 30 999 99.0 99.0  1.25  4.55  3.95 119 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 03 00 999 99.0 99.0  1.24  5.00  4.05 112 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 03 30 999 99.0 99.0  1.35  5.00  4.06 115 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 04 00 999 99.0 99.0  1.32  4.55  4.08 126 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 04 30 999 99.0 99.0  1.33  4.55  4.12 122 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 05 00 999 99.0 99.0  1.35  5.00  4.15 116 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 05 30 999 99.0 99.0  1.31  5.00  4.21 118 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 06 00 999 99.0 99.0  1.35  5.00  4.15 114 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 06 30 999 99.0 99.0  1.35  5.00  4.18 118 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 07 00 999 99.0 99.0  1.18  5.00  4.08 104 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 07 30 999 99.0 99.0  1.18  4.55  4.15 122 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 08 00 999 99.0 99.0  1.18  5.00  4.16 115 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 08 30 999 99.0 99.0  1.15  4.76  4.16 112 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 09 00 999 99.0 99.0  1.11  4.55  4.20 123 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 09 30 999 99.0 99.0  1.08  4.76  4.17 119 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 10 00 999 99.0 99.0  1.10  4.76  4.10 118 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 10 30 999 99.0 99.0  1.10  4.76  4.33 114 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 11 00 999 99.0 99.0  1.02  5.26  4.30  99 9999.0 999.0  24.8 999.0 99.0 99.00
2017 01 03 11 30 999 99.0 99.0  0.99  5.26  4.34 109 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 12 00 999 99.0 99.0  0.94  5.56  4.19  97 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 12 30 999 99.0 99.0  0.94  5.26  4.36 107 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 13 00 999 99.0 99.0  0.91  4.76  4.36 118 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 13 30 999 99.0 99.0  0.92  5.00  4.32 107 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 14 00 999 99.0 99.0  0.87  5.00  4.50 108 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 14 30 999 99.0 99.0  0.82  4.55  4.23 116 9999.0 999.0  24.9 999.0 99.0 99.00
2017 01 03 15 00 999 99.0 99.0  0.80  5.26  4.31 101 9999.0 999.0  25.0 999.0 99.0 99.00
2017 01 03 15 30 999 99.0 99.0  0.83  5.56  4.25  97 9999.0 999.0  25.0 999.0 99.0 99.00
